family,name,native,639‑1,639‑2/T,639‑2/B,enable
Northwest Caucasian,Abkhaz,"аҧсуа бызшәа, аҧсшәа",ab,abk,abk,0
Afro-Asiatic,Afar,Afaraf,aa,aar,aar,0
Indo-European,Afrikaans,Afrikaans,af,afr,afr,0
Niger–Congo,Akan,Akan,ak,aka,aka,0
Indo-European,Albanian,Shqip,sq,sqi,alb,0
Afro-Asiatic,Amharic,አማርኛ,am,amh,amh,0
Afro-Asiatic,Arabic,العربية,ar,ara,ara,0
Indo-European,Aragonese,aragonés,an,arg,arg,0
Indo-European,Armenian,Հայերեն,hy,hye,arm,0
Indo-European,Assamese,অসমীয়া,as,asm,asm,0
Northeast Caucasian,Avaric,"авар мацӀ, магӀарул мацӀ",av,ava,ava,0
Indo-European,Avestan,avesta,ae,ave,ave,0
Aymaran,Aymara,aymar aru,ay,aym,aym,0
Turkic,Azerbaijani,azərbaycan dili,az,aze,aze,0
Niger–Congo,Bambara,bamanankan,bm,bam,bam,0
Turkic,Bashkir,башҡорт теле,ba,bak,bak,0
Language isolate,Basque,"euskara, euskera",eu,eus,baq,0
Indo-European,Belarusian,беларуская мова,be,bel,bel,0
Indo-European,"Bengali, Bangla",বাংলা,bn,ben,ben,0
Indo-European,Bihari,भोजपुरी,bh,bih,bih,0
Creole,Bislama,Bislama,bi,bis,bis,0
Indo-European,Bosnian,bosanski jezik,bs,bos,bos,0
Indo-European,Breton,brezhoneg,br,bre,bre,0
Indo-European,Bulgarian,български език,bg,bul,bul,0
Sino-Tibetan,Burmese,ဗမာစာ,my,mya,bur,0
Indo-European,Catalan,català,ca,cat,cat,0
Austronesian,Chamorro,Chamoru,ch,cha,cha,0
Northeast Caucasian,Chechen,нохчийн мотт,ce,che,che,0
Niger–Congo,"Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja",ny,nya,nya,0
Sino-Tibetan,Chinese,漢,zh,zho,chi,0
Turkic,Chuvash,чӑваш чӗлхи,cv,chv,chv,0
Indo-European,Cornish,Kernewek,kw,cor,cor,0
Indo-European,Corsican,"corsu, lingua corsa",co,cos,cos,0
Algonquian,Cree,ᓀᐦᐃᔭᐍᐏᐣ,cr,cre,cre,0
Indo-European,Croatian,hrvatski jezik,hr,hrv,hrv,0
Indo-European,Czech,"čeština, český jazyk",cs,ces,cze,0
Indo-European,Danish,dansk,da,dan,dan,0
Indo-European,"Divehi, Dhivehi, Maldivian",ދިވެހި,dv,div,div,0
Indo-European,Dutch,"Nederlands, Vlaams",nl,nld,dut,0
Sino-Tibetan,Dzongkha,རྫོང་ཁ,dz,dzo,dzo,0
Indo-European,English,English,en,eng,eng,1
Constructed,Esperanto,Esperanto,eo,epo,epo,0
Uralic,Estonian,"eesti, eesti keel",et,est,est,0
Niger–Congo,Ewe,Eʋegbe,ee,ewe,ewe,0
Indo-European,Faroese,føroyskt,fo,fao,fao,0
Austronesian,Fijian,vosa Vakaviti,fj,fij,fij,0
Uralic,Finnish,"suomi, suomen kieli",fi,fin,fin,0
Indo-European,French,"français, langue française",fr,fra,fre,0
Niger–Congo,"Fula, Fulah, Pulaar, Pular","Fulfulde, Pulaar, Pular",ff,ful,ful,0
Indo-European,Galician,galego,gl,glg,glg,0
South Caucasian,Georgian,ქართული,ka,kat,geo,0
Indo-European,German,Deutsch,de,deu,ger,1
Indo-European,Greek (modern),ελληνικά,el,ell,gre,1
Tupian,Guaraní,Avañe'ẽ,gn,grn,grn,0
Indo-European,Gujarati,ગુજરાતી,gu,guj,guj,0
Creole,"Haitian, Haitian Creole",Kreyòl ayisyen,ht,hat,hat,0
Afro-Asiatic,Hausa,(Hausa) هَوُسَ,ha,hau,hau,0
Afro-Asiatic,Hebrew (modern),עברית,he,heb,heb,0
Niger–Congo,Herero,Otjiherero,hz,her,her,0
Indo-European,Hindi,"हिन्दी, हिंदी",hi,hin,hin,0
Austronesian,Hiri Motu,Hiri Motu,ho,hmo,hmo,0
Uralic,Hungarian,magyar,hu,hun,hun,0
Constructed,Interlingua,Interlingua,ia,ina,ina,0
Austronesian,Indonesian,Bahasa Indonesia,id,ind,ind,0
Constructed,Interlingue,Originally called Occidental; then Interlingue after WWII,ie,ile,ile,0
Indo-European,Irish,Gaeilge,ga,gle,gle,0
Niger–Congo,Igbo,Asụsụ Igbo,ig,ibo,ibo,0
Eskimo–Aleut,Inupiaq,"Iñupiaq, Iñupiatun",ik,ipk,ipk,0
Constructed,Ido,Ido,io,ido,ido,0
Indo-European,Icelandic,Íslenska,is,isl,ice,0
Indo-European,Italian,italiano,it,ita,ita,0
Eskimo–Aleut,Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu,iku,iku,0
Japonic,Japanese,),ja,jpn,jpn,0
Austronesian,Javanese,"ꦧꦱꦗꦮ, Basa Jawa",jv,jav,jav,0
Eskimo–Aleut,"Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii",kl,kal,kal,0
Dravidian,Kannada,ಕನ್ನಡ,kn,kan,kan,0
Nilo-Saharan,Kanuri,Kanuri,kr,kau,kau,0
Indo-European,Kashmiri,"कश्मीरी, كشميري",ks,kas,kas,0
Turkic,Kazakh,қазақ тілі,kk,kaz,kaz,0
Austroasiatic,Khmer,"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ",km,khm,khm,0
Niger–Congo,"Kikuyu, Gikuyu",Gĩkũyũ,ki,kik,kik,0
Niger–Congo,Kinyarwanda,Ikinyarwanda,rw,kin,kin,0
Turkic,Kyrgyz,"Кыргызча, Кыргыз тили",ky,kir,kir,0
Uralic,Komi,коми кыв,kv,kom,kom,0
Niger–Congo,Kongo,Kikongo,kg,kon,kon,0
Koreanic,Korean,한국,ko,kor,kor,0
Indo-European,Kurdish,"Kurdî, كوردی",ku,kur,kur,0
Niger–Congo,"Kwanyama, Kuanyama",Kuanyama,kj,kua,kua,0
Indo-European,Latin,"latine, lingua latina",la,lat,lat,0
Indo-European,"Luxembourgish, Letzeburgesch",Lëtzebuergesch,lb,ltz,ltz,0
Niger–Congo,Ganda,Luganda,lg,lug,lug,0
Indo-European,"Limburgish, Limburgan, Limburger",Limburgs,li,lim,lim,0
Niger–Congo,Lingala,Lingála,ln,lin,lin,0
Tai–Kadai,Lao,ພາສາລາວ,lo,lao,lao,0
Indo-European,Lithuanian,lietuvių kalba,lt,lit,lit,0
Niger–Congo,Luba-Katanga,Tshiluba,lu,lub,lub,0
Indo-European,Latvian,latviešu valoda,lv,lav,lav,0
Indo-European,Manx,"Gaelg, Gailck",gv,glv,glv,0
Indo-European,Macedonian,македонски јазик,mk,mkd,mac,0
Austronesian,Malagasy,fiteny malagasy,mg,mlg,mlg,0
Austronesian,Malay,"bahasa Melayu, بهاس ملايو",ms,msa,may,0
Dravidian,Malayalam,മലയാളം,ml,mal,mal,0
Afro-Asiatic,Maltese,Malti,mt,mlt,mlt,0
Austronesian,Māori,te reo Māori,mi,mri,mao,0
Indo-European,Marathi (Marāṭhī),मराठी,mr,mar,mar,0
Austronesian,Marshallese,Kajin M̧ajeļ,mh,mah,mah,0
Mongolic,Mongolian,Монгол хэл,mn,mon,mon,0
Austronesian,Nauruan,Dorerin Naoero,na,nau,nau,0
Dené–Yeniseian,"Navajo, Navaho",Diné bizaad,nv,nav,nav,0
Niger–Congo,Northern Ndebele,isiNdebele,nd,nde,nde,0
Indo-European,Nepali,नेपाली,ne,nep,nep,0
Niger–Congo,Ndonga,Owambo,ng,ndo,ndo,0
Indo-European,Norwegian Bokmål,Norsk bokmål,nb,nob,nob,0
Indo-European,Norwegian Nynorsk,Norsk nynorsk,nn,nno,nno,0
Indo-European,Norwegian,Norsk,no,nor,nor,0
Sino-Tibetan,Nuosu,ꆈꌠ꒿ Nuosuhxop,ii,iii,iii,0
Niger–Congo,Southern Ndebele,isiNdebele,nr,nbl,nbl,0
Indo-European,Occitan,"occitan, lenga d'òc",oc,oci,oci,0
Algonquian,"Ojibwe, Ojibwa",ᐊᓂᔑᓈᐯᒧᐎᓐ,oj,oji,oji,0
Indo-European,"Old Church Slavonic, Church Slavonic, Old Bulgarian",ѩзыкъ словѣньскъ,cu,chu,chu,0
Afro-Asiatic,Oromo,Afaan Oromoo,om,orm,orm,0
Indo-European,Oriya,ଓଡ଼ିଆ,or,ori,ori,0
Indo-European,"Ossetian, Ossetic",ирон æвзаг,os,oss,oss,0
Indo-European,"Eastern Punjabi, Eastern Panjabi",ਪੰਜਾਬੀ,pa,pan,pan,0
Indo-European,Pāli,पाऴि,pi,pli,pli,0
Indo-European,Persian (Farsi),فارسی,fa,fas,per,0
Indo-European,Polish,"język polski, polszczyzna",pl,pol,pol,0
Indo-European,"Pashto, Pushto",پښتو,ps,pus,pus,0
Indo-European,Portuguese,Português,pt,por,por,0
Quechuan,Quechua,"Runa Simi, Kichwa",qu,que,que,0
Indo-European,Romansh,rumantsch grischun,rm,roh,roh,0
Niger–Congo,Kirundi,Ikirundi,rn,run,run,0
Indo-European,Romanian,Română,ro,ron,rum,0
Indo-European,Russian,Русский,ru,rus,rus,0
Indo-European,Sanskrit (Saṁskṛta),संस्कृतम्,sa,san,san,0
Indo-European,Sardinian,sardu,sc,srd,srd,0
Indo-European,Sindhi,"सिन्धी, سنڌي، سندھی",sd,snd,snd,0
Uralic,Northern Sami,Davvisámegiella,se,sme,sme,0
Austronesian,Samoan,gagana fa'a Samoa,sm,smo,smo,0
Creole,Sango,yângâ tî sängö,sg,sag,sag,0
Indo-European,Serbian,српски језик,sr,srp,srp,0
Indo-European,"Scottish Gaelic, Gaelic",Gàidhlig,gd,gla,gla,0
Niger–Congo,Shona,chiShona,sn,sna,sna,0
Indo-European,"Sinhalese, Sinhala",සිංහල,si,sin,sin,0
Indo-European,Slovak,"slovenčina, slovenský jazyk",sk,slk,slo,0
Indo-European,Slovene,"slovenski jezik, slovenščina",sl,slv,slv,0
Afro-Asiatic,Somali,"Soomaaliga, af Soomaali",so,som,som,0
